event-id,visible,timestamp,location-long,location-lat,gps:hdop,ground-speed,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
5167424802,true,2003-10-14 05:04:03.000,166.6068667,-48.02116667,2.7,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424803,true,2003-10-14 05:25:33.000,166.6069,-48.02091667,3.5,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424804,true,2003-10-14 05:46:32.000,166.60645,-48.0208,2.5,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424805,true,2003-10-14 06:07:09.000,166.6064833,-48.02081667,4.8,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424806,true,2003-10-14 06:29:57.000,166.6067,-48.02105,2.2,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424807,true,2003-10-14 06:50:27.000,166.6065833,-48.02103333,2.5,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424808,true,2003-10-14 07:28:06.000,166.6068,-48.02098333,1.4,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424809,true,2003-10-14 08:03:50.000,166.6076833,-48.02136667,6.7,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424810,true,2003-10-14 08:26:14.000,166.6067667,-48.02108333,1.8,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424811,true,2003-10-14 08:49:21.000,166.6068,-48.02111667,2.3,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424812,true,2003-10-14 09:10:21.000,166.6067333,-48.0211,2.0,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424813,true,2003-10-14 09:32:10.000,166.6069,-48.02126667,2.8,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424814,true,2003-10-14 09:53:21.000,166.6067333,-48.0209,3.9,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424815,true,2003-10-14 10:13:57.000,166.6067333,-48.02108333,2.9,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424816,true,2003-10-14 10:35:33.000,166.6065167,-48.02118333,4.7,0.2,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424817,true,2003-10-14 10:56:51.000,166.6067667,-48.02106667,2.1,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424818,true,2003-10-14 11:33:21.000,166.6067,-48.02106667,1.5,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424819,true,2003-10-14 11:54:21.000,166.6066667,-48.02111667,4.1,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424820,true,2003-10-14 12:14:39.000,166.6066667,-48.02103333,2.3,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424821,true,2003-10-14 12:35:50.000,166.6067,-48.02106667,2.2,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424822,true,2003-10-14 12:57:27.000,166.60655,-48.0208,11.1,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424823,true,2003-10-14 13:18:21.000,166.6067333,-48.02103333,1.8,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424824,true,2003-10-14 13:38:51.000,166.6065833,-48.02088333,2.4,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424825,true,2003-10-14 14:00:20.000,166.6067667,-48.02101667,7.9,0.2,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424826,true,2003-10-14 14:20:57.000,166.6067333,-48.02121667,9.7,0.2,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424827,true,2003-10-14 14:41:21.000,166.6067333,-48.02108333,3.5,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424828,true,2003-10-14 15:01:39.000,166.6067667,-48.02108333,5.4,0.1,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424829,true,2003-10-14 15:21:58.000,166.6068333,-48.02105,2.2,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424830,true,2003-10-14 15:42:21.000,166.6068,-48.02101667,2.1,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
5167424831,true,2003-10-14 16:03:03.000,166.607,-48.02106667,3.3,0.0,gps,Eudyptes robustus,E&O GPS22,T13 male,GPS tracking of Snares penguins during egg incubation 2003
